time,x,y,z,qx,qy,qz,qw
1.77126e+09,0.388988,0.036368,0.455683,-0.593451,0.804731,0.0051427,0.0140113
1.77126e+09,0.38899,0.0363689,0.45568,-0.593455,0.804729,0.00514289,0.0140086
1.77126e+09,0.388987,0.0363699,0.455681,-0.593455,0.804729,0.00514277,0.0140089
1.77126e+09,0.388987,0.0363699,0.455681,-0.593455,0.804729,0.00514277,0.0140089
1.77126e+09,0.388988,0.036367,0.455682,-0.593452,0.804731,0.00514391,0.0140106
1.77126e+09,0.388988,0.0363676,0.455681,-0.59345,0.804732,0.00514339,0.0140106
1.77126e+09,0.388988,0.0363685,0.455681,-0.593452,0.804731,0.0051426,0.0140093
1.77126e+09,0.388988,0.0363688,0.455683,-0.59345,0.804732,0.00514241,0.0140115
1.77126e+09,0.388989,0.0363687,0.455679,-0.59345,0.804733,0.00514324,0.0140079
1.77126e+09,0.388989,0.0363661,0.455683,-0.593452,0.804731,0.00514497,0.0140127
1.77126e+09,0.388988,0.0363692,0.455682,-0.593452,0.804731,0.00514237,0.0140115
1.77126e+09,0.388989,0.0363639,0.455679,-0.593448,0.804734,0.00514659,0.0140086
1.77126e+09,0.388988,0.0363701,0.455681,-0.593457,0.804728,0.00514357,0.0140089
1.77126e+09,0.388988,0.0363674,0.455679,-0.593454,0.80473,0.00514551,0.0140088
1.77126e+09,0.388988,0.0363688,0.45568,-0.593454,0.804729,0.00514333,0.0140099
1.77126e+09,0.388988,0.036365,0.455679,-0.593447,0.804735,0.00514537,0.014008
1.77126e+09,0.388987,0.0363678,0.455682,-0.593451,0.804732,0.00514404,0.0140112
1.77126e+09,0.388989,0.0363673,0.455682,-0.593456,0.804728,0.00514364,0.0140103
1.77126e+09,0.388988,0.0363665,0.45568,-0.593454,0.80473,0.00514361,0.0140095
1.77126e+09,0.38899,0.0363662,0.455686,-0.59345,0.804732,0.0051424,0.0140151
1.77126e+09,0.388988,0.0363677,0.455682,-0.593451,0.804732,0.00514386,0.0140106
1.77126e+09,0.388988,0.0363712,0.455683,-0.593455,0.804729,0.00514133,0.0140111
1.77126e+09,0.388989,0.0363667,0.455684,-0.593451,0.804731,0.00514271,0.0140126
1.77126e+09,0.388989,0.0363687,0.455682,-0.593456,0.804728,0.00514306,0.0140108
1.77126e+09,0.388989,0.0363696,0.455679,-0.593453,0.804731,0.00514411,0.0140056
1.77126e+09,0.38899,0.0363651,0.45568,-0.593452,0.804731,0.00514562,0.0140096
1.77126e+09,0.388991,0.0363673,0.455683,-0.593449,0.804733,0.00514328,0.0140116
1.77126e+09,0.388989,0.0363658,0.455679,-0.593451,0.804732,0.0051466,0.0140078
1.77126e+09,0.388981,0.0363653,0.455659,-0.59345,0.804733,0.00515753,0.013988
1.77126e+09,0.388975,0.0363605,0.455636,-0.593449,0.804734,0.00517234,0.0139677
1.77126e+09,0.388968,0.0363639,0.455604,-0.593453,0.804731,0.00519079,0.0139377
1.77126e+09,0.38897,0.0363683,0.455615,-0.59345,0.804733,0.0051813,0.0139475
1.77126e+09,0.38897,0.0363631,0.455615,-0.59345,0.804733,0.00518154,0.0139506
1.77126e+09,0.388949,0.0363534,0.455569,-0.593439,0.804742,0.00521567,0.0139039
1.77126e+09,0.38877,0.0363441,0.455109,-0.593448,0.804741,0.00547116,0.0134852
1.77126e+09,0.388658,0.036325,0.454766,-0.593434,0.804755,0.00566824,0.0131674
1.77126e+09,0.388653,0.0363112,0.454672,-0.59342,0.804766,0.00573713,0.0130696
1.77126e+09,0.388656,0.0363119,0.454578,-0.593421,0.804767,0.00579753,0.0129738
1.77126e+09,0.388707,0.0363271,0.454427,-0.593437,0.804757,0.0059013,0.0128098
1.77126e+09,0.388744,0.0363146,0.45435,-0.593419,0.804771,0.0059583,0.0127292
1.77126e+09,0.388766,0.0362991,0.454353,-0.593403,0.804783,0.00596625,0.0127397
1.77126e+09,0.388851,0.03623,0.454388,-0.593333,0.804834,0.00599111,0.0127914
1.77126e+09,0.389028,0.0361248,0.454442,-0.593226,0.80491,0.00602735,0.0128828
1.77126e+09,0.389259,0.0359802,0.454398,-0.593081,0.805016,0.00612782,0.0129168
1.77126e+09,0.389482,0.0358711,0.45425,-0.592972,0.805097,0.00631519,0.0127783
1.77126e+09,0.389824,0.0356726,0.454016,-0.592769,0.805247,0.00661798,0.0125739
1.77126e+09,0.390347,0.0354804,0.453775,-0.592559,0.805403,0.0069785,0.0123036
1.77126e+09,0.390956,0.0353806,0.453577,-0.592423,0.805504,0.0072689,0.0120319
1.77126e+09,0.391622,0.0353663,0.453577,-0.592368,0.805546,0.00739988,0.0119324
1.77126e+09,0.392292,0.0353786,0.453728,-0.592333,0.805571,0.0074347,0.0119418
1.77126e+09,0.392967,0.0354369,0.453942,-0.592338,0.805566,0.00742084,0.012004
1.77126e+09,0.393724,0.0354965,0.454068,-0.592336,0.805567,0.00747971,0.01196
1.77126e+09,0.39463,0.035571,0.453983,-0.592341,0.805566,0.00769015,0.0116791
1.77126e+09,0.395543,0.0355783,0.453658,-0.592282,0.805613,0.00804059,0.0112186
1.77126e+09,0.396508,0.0354495,0.453593,-0.592091,0.805752,0.0082755,0.0110752
1.77126e+09,0.397578,0.0352041,0.453955,-0.591804,0.805959,0.00836636,0.011306
1.77126e+09,0.398937,0.0348274,0.454345,-0.591386,0.806261,0.00855948,0.0115692
1.77126e+09,0.400352,0.0343758,0.454277,-0.590893,0.806618,0.009007,0.011499
1.77126e+09,0.401716,0.0338556,0.453967,-0.590351,0.807012,0.00959888,0.0112335
1.77126e+09,0.403272,0.0333718,0.454149,-0.58983,0.807386,0.00997464,0.0113103
1.77126e+09,0.404922,0.032745,0.454492,-0.58918,0.807853,0.0103018,0.0115874
1.77126e+09,0.406449,0.0319893,0.454427,-0.588429,0.808393,0.0108907,0.0115439
1.77126e+09,0.407986,0.0312169,0.454436,-0.587659,0.808945,0.0114463,0.0115343
1.77126e+09,0.409692,0.0303886,0.454376,-0.586835,0.809536,0.0120379,0.0115101
1.77126e+09,0.411082,0.0295714,0.454229,-0.586041,0.810102,0.0126135,0.0114441
1.77126e+09,0.41251,0.0287394,0.454373,-0.585231,0.810679,0.0130358,0.0115942
1.77126e+09,0.413917,0.0275556,0.454498,-0.584125,0.811464,0.0135826,0.0118588
1.77126e+09,0.415116,0.0260719,0.454288,-0.582752,0.812436,0.0143091,0.0119775
1.77126e+09,0.416283,0.0243752,0.454149,-0.581189,0.813539,0.0150465,0.0121296
1.77126e+09,0.417425,0.0226273,0.45439,-0.579578,0.814672,0.0155289,0.0125773
1.77126e+09,0.418442,0.0206585,0.454504,-0.577798,0.815915,0.0161958,0.0130107
1.77126e+09,0.419139,0.018673,0.454162,-0.576024,0.817147,0.0171733,0.0131129
1.77126e+09,0.419756,0.0166688,0.453812,-0.57424,0.818378,0.0181119,0.0133108
1.77126e+09,0.420313,0.0148178,0.453963,-0.5726,0.819503,0.0187104,0.0139089
1.77126e+09,0.420815,0.0128426,0.454301,-0.570861,0.820691,0.0192354,0.0146757
1.77126e+09,0.421287,0.0110303,0.454454,-0.569261,0.821777,0.0198026,0.0152226
1.77126e+09,0.421798,0.00918708,0.454408,-0.567629,0.822881,0.0205142,0.0155932
1.77126e+09,0.422336,0.00735307,0.454318,-0.566003,0.823976,0.021234,0.0159069
1.77126e+09,0.422988,0.00565463,0.454261,-0.564485,0.824994,0.0218858,0.0161978
1.77126e+09,0.423644,0.00401767,0.454167,-0.563028,0.825967,0.0225318,0.0164371
1.77126e+09,0.424297,0.00222308,0.454032,-0.561432,0.827028,0.0232437,0.0166733
1.77126e+09,0.424851,0.000534338,0.453989,-0.559919,0.828031,0.0238233,0.0169619
1.77126e+09,0.425363,-0.00128446,0.454093,-0.558308,0.829093,0.0243502,0.0174321
1.77126e+09,0.425849,-0.00320179,0.454317,-0.556616,0.830202,0.0248567,0.0180607
1.77126e+09,0.426287,-0.00532844,0.454516,-0.554733,0.831429,0.0254211,0.0187122
1.77126e+09,0.426627,-0.00751778,0.454448,-0.552787,0.832692,0.0261436,0.0191415
1.77126e+09,0.426949,-0.00988971,0.45419,-0.550669,0.834058,0.0270593,0.0194565
1.77126e+09,0.427305,-0.0121969,0.454034,-0.548601,0.835386,0.0278278,0.0198024
1.77126e+09,0.427585,-0.0144167,0.454023,-0.546614,0.836654,0.0284807,0.0202852
1.77126e+09,0.42765,-0.0165949,0.453992,-0.544672,0.837884,0.0291639,0.0207959
1.77126e+09,0.427592,-0.018754,0.453902,-0.54273,0.839108,0.0298437,0.0212488
1.77126e+09,0.427526,-0.0208307,0.453869,-0.540868,0.840274,0.0304779,0.0217468
1.77126e+09,0.427452,-0.0227523,0.45381,-0.539142,0.841348,0.0310923,0.022193
1.77126e+09,0.427373,-0.0245255,0.453761,-0.537539,0.842343,0.0316251,0.02259
1.77126e+09,0.427289,-0.026255,0.453702,-0.535984,0.843301,0.0321888,0.022997
1.77126e+09,0.427192,-0.0279692,0.453656,-0.534447,0.844241,0.0327654,0.0234308
1.77126e+09,0.427091,-0.0296338,0.453597,-0.532954,0.845152,0.0333246,0.0238288
1.77126e+09,0.426951,-0.0312732,0.453514,-0.531477,0.846048,0.0339735,0.0241076
1.77126e+09,0.426787,-0.0329025,0.45347,-0.530012,0.846931,0.0346116,0.0244215
1.77126e+09,0.426614,-0.0344176,0.453542,-0.528649,0.84775,0.0351011,0.0248701
1.77126e+09,0.426412,-0.03563,0.453587,-0.527567,0.848396,0.0356028,0.025102
1.77126e+09,0.426412,-0.03563,0.453587,-0.527567,0.848396,0.0356028,0.025102
1.77126e+09,0.426195,-0.036548,0.453624,-0.526741,0.848887,0.0360349,0.0252313
1.77126e+09,0.425979,-0.0373504,0.453581,-0.526015,0.849317,0.0364879,0.0252505
1.77126e+09,0.425789,-0.0381562,0.453532,-0.525284,0.84975,0.0368612,0.0253732
1.77126e+09,0.425619,-0.0390123,0.453439,-0.524506,0.850209,0.0372695,0.0254714
1.77126e+09,0.425434,-0.0398233,0.453373,-0.523771,0.850642,0.0376911,0.0255243
1.77126e+09,0.425215,-0.0403819,0.453333,-0.523262,0.85094,0.0380482,0.0255047
1.77126e+09,0.424978,-0.0407333,0.453373,-0.522943,0.851125,0.0382498,0.0255593
1.77126e+09,0.424653,-0.0410215,0.453449,-0.522676,0.851278,0.0384125,0.0256686
1.77126e+09,0.424142,-0.0413435,0.453524,-0.522379,0.851448,0.0386267,0.0257963
1.77126e+09,0.423396,-0.0417494,0.453486,-0.521995,0.851663,0.039106,0.0257307
1.77126e+09,0.422551,-0.0421846,0.45346,-0.521584,0.851893,0.0396455,0.0256298
1.77126e+09,0.421637,-0.042723,0.453367,-0.521062,0.852186,0.0401275,0.0257438
1.77126e+09,0.420576,-0.0433392,0.453251,-0.520469,0.852518,0.0405333,0.0261265
1.77126e+09,0.41947,-0.0440333,0.453417,-0.519811,0.852884,0.0408144,0.0268086
1.77126e+09,0.418318,-0.0447214,0.453627,-0.519181,0.853231,0.0412747,0.0272736
1.77126e+09,0.416869,-0.0452239,0.453442,-0.518693,0.853488,0.0424965,0.0266453
1.77126e+09,0.414985,-0.0455435,0.453051,-0.518361,0.853642,0.0443481,0.0251088
1.77126e+09,0.413233,-0.0459121,0.453217,-0.518,0.853817,0.0455987,0.0243776
1.77126e+09,0.411744,-0.0464176,0.453687,-0.517508,0.854081,0.046218,0.024409
1.77126e+09,0.410111,-0.0469327,0.453767,-0.51695,0.854385,0.0469476,0.0241642
1.77126e+09,0.408142,-0.0474824,0.453237,-0.516264,0.854764,0.0479009,0.0235767
1.77126e+09,0.406461,-0.0482891,0.453108,-0.515335,0.855302,0.0481284,0.0239228
1.77126e+09,0.405017,-0.0491414,0.453542,-0.514404,0.855847,0.0479538,0.0248083
1.77126e+09,0.403317,-0.0499723,0.453374,-0.513431,0.856408,0.0482147,0.0250924
1.77126e+09,0.401644,-0.0505991,0.453149,-0.512679,0.856839,0.0483977,0.0254039
1.77126e+09,0.400235,-0.0513375,0.453353,-0.511835,0.857327,0.0483147,0.0260915
1.77126e+09,0.398693,-0.052205,0.453374,-0.510819,0.857914,0.0483356,0.0266503
1.77126e+09,0.396992,-0.0533045,0.453224,-0.509525,0.858662,0.0484915,0.0270679
1.77126e+09,0.395418,-0.0543896,0.453216,-0.508254,0.859395,0.0485771,0.0275545
1.77126e+09,0.393803,-0.0552821,0.45297,-0.507154,0.860023,0.0487533,0.0278982
1.77126e+09,0.392114,-0.0560253,0.45289,-0.50622,0.860552,0.0488232,0.0284373
1.77126e+09,0.390567,-0.0566494,0.453091,-0.505446,0.860986,0.0487987,0.0290912
1.77126e+09,0.388644,-0.0569794,0.452925,-0.504945,0.86125,0.0492745,0.0291644
1.77126e+09,0.386515,-0.057249,0.452692,-0.504537,0.861454,0.0502748,0.0284966
1.77126e+09,0.384289,-0.0573359,0.452861,-0.504442,0.861467,0.0516595,0.0272768
1.77126e+09,0.381973,-0.0572928,0.452873,-0.504381,0.861459,0.0526665,0.0267363
1.77126e+09,0.379799,-0.057337,0.452959,-0.504285,0.861494,0.0528299,0.027083
1.77126e+09,0.377656,-0.0576203,0.452841,-0.503966,0.861675,0.0526598,0.0275887
1.77126e+09,0.375316,-0.0583361,0.452725,-0.50363,0.861924,0.0517097,0.0277471
1.77126e+09,0.372938,-0.0595242,0.452574,-0.503915,0.861944,0.0491042,0.0266705
1.77126e+09,0.370449,-0.0607791,0.452117,-0.505168,0.861501,0.0451361,0.0241541
1.77126e+09,0.368143,-0.0613952,0.452018,-0.507355,0.860501,0.0406903,0.0217826
1.77126e+09,0.366077,-0.0616445,0.45211,-0.509839,0.859278,0.0364399,0.0194486
1.77126e+09,0.36393,-0.061725,0.452028,-0.511995,0.85817,0.0336149,0.0165698
1.77126e+09,0.36163,-0.0616609,0.451594,-0.513363,0.857427,0.0330955,0.0134748
1.77126e+09,0.359809,-0.0614543,0.452013,-0.514016,0.857042,0.0335288,0.0119519
1.77126e+09,0.35795,-0.0610889,0.452215,-0.514331,0.856805,0.0352744,0.010242
1.77126e+09,0.355767,-0.0604557,0.45199,-0.514857,0.856397,0.038224,0.00670333
1.77126e+09,0.354217,-0.0596745,0.452196,-0.515588,0.855921,0.0392378,0.00534565
1.77126e+09,0.35281,-0.058495,0.452201,-0.516682,0.855253,0.0395273,0.00437601
1.77126e+09,0.351514,-0.0569914,0.452266,-0.518122,0.854391,0.0394039,0.00356179
1.77126e+09,0.350469,-0.05529,0.452404,-0.519759,0.853428,0.0387655,0.00298797
1.77126e+09,0.349576,-0.0531614,0.452265,-0.521784,0.852244,0.0376234,0.00232429
1.77126e+09,0.348703,-0.0509118,0.45209,-0.523926,0.850987,0.0363274,0.00160107
1.77126e+09,0.348064,-0.0487969,0.452447,-0.525966,0.849797,0.0346981,0.00131739
1.77126e+09,0.347571,-0.0467254,0.452639,-0.527971,0.848612,0.033219,0.000801926
1.77126e+09,0.34714,-0.0445037,0.452402,-0.530099,0.847334,0.0319425,-0.00025806
1.77126e+09,0.346902,-0.0423684,0.452159,-0.532137,0.846101,0.030677,-0.0014343
1.77126e+09,0.346851,-0.0404024,0.452314,-0.534036,0.844953,0.0292409,-0.00223065
1.77126e+09,0.346801,-0.0383464,0.452503,-0.536021,0.843744,0.0277168,-0.00303335
1.77126e+09,0.346648,-0.0361839,0.452461,-0.53809,0.842468,0.0262809,-0.00406144
1.77126e+09,0.346505,-0.0338484,0.452468,-0.54032,0.841082,0.0246602,-0.00515009
1.77126e+09,0.346469,-0.0314638,0.4526,-0.542618,0.839643,0.0229619,-0.00616129
1.77126e+09,0.346505,-0.0288532,0.452766,-0.545126,0.838056,0.0211384,-0.00724372
1.77126e+09,0.346632,-0.0264354,0.452883,-0.547451,0.836569,0.0195139,-0.00831237
1.77126e+09,0.346775,-0.0239776,0.452976,-0.549761,0.835078,0.017866,-0.00943771
1.77126e+09,0.346898,-0.0216617,0.453063,-0.551951,0.83365,0.0163863,-0.0104259
1.77126e+09,0.347009,-0.0192756,0.453146,-0.554195,0.832175,0.0149194,-0.0114034
1.77126e+09,0.347097,-0.017169,0.453211,-0.556173,0.830864,0.0136285,-0.0122632
1.77126e+09,0.347171,-0.0150534,0.453271,-0.558116,0.829567,0.0123288,-0.0131311
1.77126e+09,0.347239,-0.0130356,0.453314,-0.559922,0.828353,0.0111215,-0.0139452
1.77126e+09,0.347294,-0.0109982,0.453388,-0.56177,0.827103,0.00987408,-0.0147071
1.77126e+09,0.347361,-0.00905499,0.45342,-0.563508,0.825921,0.0088039,-0.0153422
1.77126e+09,0.34741,-0.00731843,0.453469,-0.56505,0.824867,0.00792346,-0.0158153
1.77126e+09,0.347482,-0.00578201,0.453526,-0.566519,0.823861,0.00705308,-0.0161359
1.77126e+09,0.347557,-0.00435896,0.453599,-0.567945,0.82288,0.00617839,-0.0164001
1.77126e+09,0.347634,-0.00295033,0.453662,-0.569357,0.821906,0.00533598,-0.0166051
1.77126e+09,0.347693,-0.00147489,0.453681,-0.570926,0.820816,0.00480024,-0.0167661
1.77126e+09,0.347751,6.91716e-05,0.453679,-0.572615,0.819639,0.00448209,-0.0168215
1.77126e+09,0.347831,0.00156543,0.453728,-0.574277,0.81848,0.00419182,-0.0166978
1.77126e+09,0.347947,0.00316214,0.453846,-0.576058,0.817238,0.00396057,-0.0162389
1.77126e+09,0.348103,0.00504516,0.453925,-0.577949,0.815917,0.0041342,-0.0154277
1.77126e+09,0.348402,0.00699752,0.453947,-0.57972,0.814682,0.00442874,-0.014101
1.77126e+09,0.349007,0.00884955,0.453963,-0.581556,0.813405,0.00396845,-0.0122275
1.77126e+09,0.350009,0.0102032,0.453991,-0.582988,0.812418,0.00256366,-0.0097139
1.77126e+09,0.35103,0.0109785,0.45381,-0.583851,0.81182,0.0013919,-0.00796074
1.77126e+09,0.352323,0.0114549,0.453555,-0.584352,0.811479,-3.16576e-05,-0.00581346
1.77126e+09,0.35366,0.0121453,0.453195,-0.58509,0.810958,-0.00131619,-0.00387588
1.77126e+09,0.354625,0.0130828,0.452944,-0.586119,0.810217,-0.00184382,-0.00308532
1.77126e+09,0.354625,0.0130828,0.452944,-0.586119,0.810217,-0.00184382,-0.00308532
1.77126e+09,0.355439,0.0142112,0.453064,-0.587363,0.809317,-0.00242058,-0.00223171
1.77126e+09,0.356114,0.0153757,0.453131,-0.588641,0.808388,-0.00278111,-0.00170226
1.77126e+09,0.356813,0.0166532,0.453019,-0.590044,0.807364,-0.00290782,-0.00152436
1.77126e+09,0.357618,0.0180692,0.453092,-0.591587,0.806234,-0.00299822,-0.00140635
1.77126e+09,0.358553,0.0195959,0.453224,-0.593235,0.805022,-0.00298651,-0.00146074
1.77126e+09,0.359515,0.0210237,0.453179,-0.594761,0.803896,-0.00277072,-0.00183112
1.77126e+09,0.360468,0.0223926,0.453066,-0.59622,0.802814,-0.00251199,-0.00224555
1.77126e+09,0.361499,0.0236053,0.453289,-0.597477,0.801878,-0.00241622,-0.0024303
1.77126e+09,0.362617,0.0248734,0.453807,-0.598765,0.800918,-0.0024984,-0.00234239
1.77126e+09,0.363694,0.026524,0.453825,-0.600431,0.799669,-0.0022862,-0.00274141
1.77126e+09,0.364643,0.0284174,0.453377,-0.602404,0.798181,-0.00184949,-0.00345699
1.77126e+09,0.365677,0.0302735,0.45344,-0.604319,0.796732,-0.00172239,-0.00370724
1.77126e+09,0.366941,0.0322443,0.454044,-0.606305,0.795222,-0.00183045,-0.00358885
1.77126e+09,0.367999,0.0346941,0.454057,-0.608734,0.793364,-0.00145508,-0.00392507
1.77126e+09,0.368949,0.0370025,0.453755,-0.61106,0.79157,-0.00101341,-0.00459737
1.77126e+09,0.370057,0.0390318,0.454013,-0.61307,0.790014,-0.000920461,-0.00476592
1.77126e+09,0.371196,0.0410451,0.454339,-0.614961,0.788543,-0.000755695,-0.00479669
1.77126e+09,0.371988,0.0431453,0.454087,-0.616935,0.786996,-0.000223313,-0.00525774
1.77126e+09,0.372783,0.0451355,0.453961,-0.618874,0.78547,4.54652e-05,-0.0056638
1.77126e+09,0.373734,0.0467902,0.454337,-0.620395,0.784269,6.0125e-05,-0.00559488
1.77126e+09,0.374509,0.0486329,0.454582,-0.621931,0.783053,0.000473454,-0.00541624
1.77126e+09,0.374994,0.0506111,0.454274,-0.623517,0.781789,0.00136094,-0.00551047
1.77126e+09,0.375476,0.0524559,0.454154,-0.624885,0.780697,0.00214355,-0.00510403
1.77126e+09,0.376004,0.0543915,0.454529,-0.626026,0.779786,0.00317249,-0.0038605
1.77126e+09,0.376433,0.056681,0.454924,-0.626974,0.779018,0.00529384,-0.00232387
1.77126e+09,0.376775,0.0592811,0.455086,-0.627857,0.778285,0.00823217,-0.000711219
1.77126e+09,0.377041,0.0619959,0.454887,-0.628603,0.777636,0.0118198,0.000828816
1.77126e+09,0.377377,0.0645872,0.454661,-0.629173,0.77711,0.0153447,0.00250403
1.77126e+09,0.377802,0.0665799,0.45479,-0.630043,0.776365,0.0169632,0.00379341
1.77126e+09,0.378022,0.0681475,0.454966,-0.631468,0.775204,0.0170167,0.00404729
1.77126e+09,0.37805,0.0695528,0.455017,-0.632842,0.774085,0.0169676,0.00396443
1.77126e+09,0.378017,0.0707751,0.45499,-0.634015,0.773127,0.0168657,0.00379448
1.77126e+09,0.37798,0.0718998,0.454996,-0.635082,0.772256,0.0166869,0.00364947
1.77126e+09,0.377859,0.0732008,0.455065,-0.636311,0.77125,0.0163849,0.00354502
1.77126e+09,0.377601,0.0746744,0.455116,-0.637712,0.770101,0.0160177,0.00338488
1.77126e+09,0.377281,0.0762638,0.455115,-0.639207,0.768871,0.0155479,0.0030936
1.77126e+09,0.376987,0.0777048,0.455117,-0.640501,0.767807,0.0149248,0.00273021
1.77126e+09,0.376725,0.078967,0.455115,-0.641603,0.7669,0.0142792,0.00236035
1.77126e+09,0.376482,0.0801193,0.455113,-0.642598,0.76608,0.0136419,0.00199823
1.77126e+09,0.376232,0.081301,0.455106,-0.643609,0.765242,0.0129844,0.00161984
1.77126e+09,0.375959,0.0825454,0.455103,-0.644678,0.764354,0.0122973,0.00123046
1.77126e+09,0.375703,0.0837057,0.455099,-0.645673,0.763525,0.0116623,0.000872681
1.77126e+09,0.375461,0.0847895,0.455084,-0.646599,0.762749,0.0111175,0.000550801
1.77126e+09,0.375188,0.0860171,0.455076,-0.647656,0.761861,0.0104643,0.000181396
1.77126e+09,0.374858,0.0874548,0.455068,-0.648907,0.760805,0.00971875,-0.000235728
1.77126e+09,0.374469,0.0891011,0.455062,-0.650339,0.759592,0.00884249,-0.000718785
1.77126e+09,0.374066,0.0907466,0.455085,-0.651767,0.758376,0.00794492,-0.00116118
1.77126e+09,0.373653,0.0923656,0.455107,-0.653155,0.75719,0.00700978,-0.00162969
1.77126e+09,0.373211,0.093981,0.455135,-0.654534,0.756005,0.00610554,-0.00212639
1.77126e+09,0.372789,0.0955136,0.45519,-0.655821,0.754893,0.00529602,-0.00247917
